,iter,distortion_D,rate_R,objective_L(beta=100),beta_threshold_vs_seed
0,0,0.6135204083965918,7.0,68.35204083965918,
1,1,0.47480113602375196,20.0,67.4801136023752,93.71444773051806
2,2,0.43290531804068494,35.5,78.7905318040685,157.7941241999214
3,3,0.41090845615789795,50.0,91.09084561578979,212.2283484507488
4,4,0.3967421653223766,65.5,105.17421653223766,269.8610301956004
5,5,0.37248481451164445,80.5,117.74848145116445,304.93421662480057
6,6,0.3775860514468512,102.5,140.25860514468513,404.7736041272856
7,7,0.36555805170853783,121.5,158.05580517085377,461.76363835759685
8,8,0.3585282655453697,146.0,181.85282655453696,545.1148354837782
9,9,0.34787636850353515,172.5,207.28763685035352,623.0141661248158
10,10,0.3617188451116746,191.5,227.67188451116746,732.7198353857538
11,11,0.36292673385719193,209.0,245.29267338571918,806.0857895606631
